,,,,
,county_name,0,,
state,state,0,,
date,date,0,,
confirmed_cases,confirmed_cases,0,,
deaths,deaths,0,,
total_pop,total_pop,0,,
median_age,median_age,0,,
white_pop,white_pop,0,,
black_pop,black_pop,0,,
asian_pop,asian_pop,0,,
hispanic_pop,hispanic_pop,0,,
median_income,median_income,0,,
income_per_capita,income_per_capita,0,,
poverty,poverty,0,,
commuters_by_public_transportation,commuters_by_public_transportation,0,,
commute_10_14_mins,commute_10_14_mins,0,,
commute_15_19_mins,commute_15_19_mins,0,,
commute_20_24_mins,commute_20_24_mins,0,,
commute_25_29_mins,commute_25_29_mins,0,,
commute_30_34_mins,commute_30_34_mins,0,,
commute_45_59_mins,commute_45_59_mins,0,,
aggregate_travel_time_to_work,aggregate_travel_time_to_work,143,,
households_retirement_income,households_retirement_income,0,,
bachelors_degree_or_higher_25_64,bachelors_degree_or_higher_25_64,0,,
high_school_including_ged,high_school_including_ged,0,,
less_than_high_school_graduate,less_than_high_school_graduate,0,,
